State,Year_Built,Square_Footage,CLUE_Loss_Count,Credit_Score,Construction_Type,Protection_Class,AOI,Deductible,Territory,Roof_Age_Applicant,Fire_Alarm,Burglar_Alarm,Roof_Vulnerability_Satellite,Wildfire_Exposure_Daily,Water_Loss_Recency_Months,RCV_Appraised,Fire_Hydrant_Distance,Tree_Canopy_Density,Crime_Severity_Index,Pluvial_Flood_Depth,Building_Code_Compliance,Slope_Steepness,Attic_Ventilation,Hail_Frequency,Soil_Liquefaction_Risk,Dwelling_Age,RCV_Overstatement,Credit_Score_Suppressed,Risk_Tier,Expected_Pure_Premium,Claim_Count,Claim_Amount
MA,2016,1156.0,2,700.0,Masonry,2,388450.0,1000,Suburban,25.0,False,False,17.6,0.5,38.0,428760.0,1.467,33.6,86.8,1.2,85.0,34.3,Fair,0.0,High,10,0.0,True,Moderate,1649.53,1,645.37
NY,2004,1735.0,0,818.0,Frame,3,415997.0,5000,Suburban,32.0,True,True,19.1,10.7,114.0,358159.0,0.028,5.6,11.9,2.4,60.0,3.5,Fair,2.0,Moderate,22,57838.0,False,High,2452.58,1,1666.44
WA,1965,1653.0,0,602.0,Masonry,8,368995.0,1000,Urban,13.0,False,True,6.0,29.9,38.0,403697.0,1.192,43.6,65.9,3.6,81.0,9.9,Good,1.0,Low,61,0.0,False,Low,834.09,0,0.0
LA,2023,1831.0,0,723.0,Fire Resistive,8,350677.0,1000,Suburban,0.0,False,True,1.2,8.6,43.0,301999.0,0.505,10.6,64.2,11.7,80.0,8.8,Good,1.0,Moderate,3,48678.0,False,Low,445.48,1,142.09
CA,2023,2365.0,0,700.0,Frame,10,602638.0,5000,Suburban,9.0,True,False,4.5,67.5,69.0,630146.0,0.843,9.7,57.2,11.9,76.0,23.1,Good,0.0,Low,3,0.0,True,High,2253.23,0,0.0
GA,1953,2498.0,0,645.0,Masonry,6,189618.0,500,Suburban,32.0,False,False,21.8,16.3,88.0,167956.0,0.545,20.1,18.5,11.8,89.0,23.6,Good,3.0,Low,73,21662.0,False,High,2002.12,0,0.0
MA,1951,1646.0,1,700.0,Frame,3,606262.0,1000,Suburban,10.0,True,False,7.0,17.2,80.0,563168.0,0.347,27.0,59.6,0.0,59.0,7.5,Fair,3.0,Low,75,43094.0,True,Moderate,1042.56,1,467.76
MA,1968,1766.0,1,700.0,Masonry,6,241660.0,1000,Urban,30.0,False,False,21.3,14.2,49.0,260606.0,0.402,71.0,60.9,8.5,45.0,30.6,Poor,0.0,Low,58,0.0,True,High,2200.32,0,0.0
CA,2008,2796.0,0,700.0,Frame,1,604212.0,1000,Urban,18.0,True,False,10.5,50.1,10.0,545618.0,3.452,46.7,61.7,12.5,56.0,2.9,Good,0.0,Low,18,58594.0,True,High,2391.96,0,0.0
NY,1994,3138.0,0,685.0,Masonry,8,775483.0,2000,Rural,29.0,True,False,16.9,37.9,6.0,693096.0,1.158,52.6,33.2,0.0,60.0,1.4,Good,4.0,Moderate,32,82387.0,False,High,3431.98,1,1773.86
FL,1987,2891.0,0,651.0,Masonry,5,300390.0,1000,Urban,39.0,False,False,26.4,6.5,19.0,329943.0,0.07,28.5,83.2,3.4,52.0,34.8,Good,2.0,Low,39,0.0,False,Very High,3630.68,0,0.0
